id_processo;numero_sigilo;sigla_grau;procedimento;ramo_justica;sigla_tribunal;id_tribunal;recurso;id_ultimo_oj;dt_recebimento;id_ultima_classe;julgadom1
325544485;0703321-29.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-11-30;283;1
325545302;0703608-26.2019.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2019-12-03;283;1
325550224;0705561-58.2020.8.07.0012;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2023-09-06;283;1
325553485;0000766-80.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-09-11;283;1
325554628;0702068-06.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2020-08-04;283;1
325562783;0707571-06.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-04-14;283;1
325564471;0712999-91.2022.8.07.0004;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6792;2023-05-01;283;1
325566539;0706899-81.2022.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2022-10-25;10943;1
325569805;0710558-31.2022.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2023-06-28;283;1
325569844;0708232-68.2022.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2023-01-17;283;1
325571021;0708351-43.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2023-06-01;283;1
325576155;0707642-87.2023.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2023-05-09;10943;1
325581914;0712118-71.2023.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2023-07-10;10943;1
325582789;0708433-94.2021.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2022-05-23;10943;1
325585220;0709584-97.2022.8.07.0005;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;43189;2023-03-24;283;1
325588434;0710836-56.2023.8.07.0020;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;86612;2023-06-07;10943;1
325590818;0710934-17.2022.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2022-07-09;10943;1
325602656;0710392-96.2022.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7042;2022-06-20;283;1
325603460;0714814-98.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6782;2023-04-04;300;1
325604538;0714707-94.2023.8.07.0020;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;86612;2023-08-02;10943;1
325606662;0710623-72.2021.8.07.0003;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6582;2021-04-20;283;1
325620737;0709821-40.2022.8.07.0003;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16280;2022-04-27;283;1
325635719;0702450-11.2021.8.07.0019;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;77835;2021-08-17;283;1
325646998;0012805-08.2013.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;13596;2015-06-25;7;1
325664435;0701909-58.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-04-29;283;1
325668154;0720710-41.2022.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2022-12-05;283;1
325671486;sigiloso(325671486);G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;7004;2022-11-11;7;1
325673358;0700936-55.2023.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;6771;2023-02-06;7;1
325693814;0705809-38.2022.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2022-08-25;10943;1
325695105;0703270-18.2020.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-12-06;283;1
325700383;0720225-53.2022.8.07.0003;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2022-09-09;10943;1
325704409;0704693-40.2021.8.07.0014;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;43068;2021-06-23;31;1
325709528;0725335-39.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-07-21;283;1
325716551;0720558-27.2021.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2022-10-31;10943;1
325727079;0720406-13.2020.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2021-01-29;10943;1
325731486;sigiloso(325731486);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2021-10-13;10943;1
325747290;0738992-48.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6625;2023-02-05;283;1
325748728;0739170-94.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-10-26;283;1
325748944;0767808-92.2022.8.07.0016;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-12-23;283;1
325752737;0727334-90.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6634;2023-07-11;283;1
325769786;0745041-42.2021.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6784;2021-12-21;283;1
325782400;0729108-92.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-08-11;283;1
325782948;0728896-08.2021.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6617;2022-04-22;283;1
325787639;sigiloso(325787639);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-09-28;283;1
325801940;0746602-56.2021.8.07.0016;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12139;2021-09-20;10943;1
325804697;sigiloso(325804697);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6625;2023-08-09;283;1
325811672;0707081-95.2021.8.07.0019;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;81624;2021-10-06;10943;1
325812203;0728728-69.2022.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2022-08-22;283;1
325815357;0704199-80.2022.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-06-30;283;1
325819049;0708615-51.2023.8.07.0004;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6939;2023-07-28;282;1
325821481;0727571-27.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2023-08-15;283;1
325822234;0725560-25.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6644;2023-07-26;283;1
325823225;0719411-97.2020.8.07.0007;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;7057;2021-05-06;10943;1
325825433;0702878-22.2023.8.07.0019;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;81624;2023-05-23;10943;1
325825850;0727555-73.2023.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2023-08-04;283;1
325827508;0701858-47.2023.8.07.0002;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2023-05-04;283;1
